x,y,z,time
0.4851, 0.4704, 0.5926, 1702255998.738203
0.4851, 0.4704, 0.5926, 1702255998.9161952
0.4851, 0.4714, 0.5926, 1702255998.9380007
0.4841, 0.4714, 0.5926, 1702255999.037751
0.4851, 0.4704, 0.5936, 1702255999.13773
0.4851, 0.4704, 0.5936, 1702255999.2376165
0.4841, 0.4714, 0.5926, 1702255999.3378356
0.4851, 0.4704, 0.5936, 1702255999.437747
0.4851, 0.4704, 0.5936, 1702255999.5377228
0.4851, 0.4704, 0.5936, 1702255999.6376972
0.4841, 0.4714, 0.5936, 1702255999.7377708
0.4841, 0.4714, 0.5936, 1702255999.8379853
0.4851, 0.4704, 0.5926, 1702255999.9378967
0.4851, 0.4704, 0.5936, 1702256000.038256
0.4841, 0.4714, 0.5936, 1702256000.1379888
0.4851, 0.4704, 0.5936, 1702256000.237682
0.4851, 0.4704, 0.5936, 1702256000.337806
0.4841, 0.4704, 0.5926, 1702256000.437671
0.4851, 0.4704, 0.5926, 1702256000.537773
0.4851, 0.4704, 0.5936, 1702256000.6377654
0.4851, 0.4704, 0.5936, 1702256000.7377896
0.4851, 0.4704, 0.5926, 1702256000.837749
0.4851, 0.4704, 0.5936, 1702256000.937754
0.4851, 0.4704, 0.5926, 1702256001.0379753
0.4851, 0.4704, 0.5975, 1702256001.13799
0.4841, 0.4704, 0.5936, 1702256001.2377927
0.4851, 0.4704, 0.5936, 1702256001.3377893
0.4841, 0.4704, 0.5926, 1702256001.4378436
0.4841, 0.4714, 0.5936, 1702256001.5378335
0.4841, 0.4704, 0.5936, 1702256001.6379857
0.4851, 0.4714, 0.5936, 1702256001.7378964
0.4851, 0.4704, 0.5936, 1702256001.8378723
0.4851, 0.4704, 0.5936, 1702256001.937736
0.4841, 0.4714, 0.5936, 1702256002.037816
0.4841, 0.4714, 0.5936, 1702256002.1377666
0.4841, 0.4704, 0.5936, 1702256002.2380211
0.4851, 0.4704, 0.5936, 1702256002.3383193
0.4851, 0.4704, 0.5936, 1702256002.437906
0.4851, 0.4704, 0.5926, 1702256002.5380514
0.4851, 0.4704, 0.5936, 1702256002.6378028
0.4851, 0.4704, 0.5936, 1702256002.7379346
0.4851, 0.4704, 0.5926, 1702256002.8378558
0.4841, 0.4714, 0.5936, 1702256002.9379478
0.4851, 0.4704, 0.5936, 1702256003.0379248
0.4851, 0.4704, 0.5936, 1702256003.137887
0.4851, 0.4704, 0.5936, 1702256003.2379396
0.4851, 0.4704, 0.5936, 1702256003.3378568
0.4851, 0.4714, 0.5926, 1702256003.4378254
0.4851, 0.4714, 0.5936, 1702256003.5384104
0.4851, 0.4704, 0.5936, 1702256003.6384807
0.4851, 0.4714, 0.5936, 1702256003.738095
0.4851, 0.4714, 0.5926, 1702256003.8378918
0.4851, 0.4704, 0.5936, 1702256003.937748
0.4851, 0.4704, 0.5936, 1702256004.0377538
0.4851, 0.4704, 0.5936, 1702256004.1380186
0.4851, 0.4704, 0.5926, 1702256004.2379923
0.4841, 0.4704, 0.5936, 1702256004.3378406
0.4841, 0.4704, 0.5926, 1702256004.4380105
0.4851, 0.4704, 0.5936, 1702256004.5379586
0.4851, 0.4704, 0.5926, 1702256004.6378095
0.4851, 0.4704, 0.5926, 1702256004.7377708
0.4841, 0.4714, 0.5936, 1702256004.8380828
0.4851, 0.4704, 0.5936, 1702256004.9386377
0.4851, 0.4704, 0.5936, 1702256005.0378017
0.4841, 0.4714, 0.5936, 1702256005.1378605
0.4851, 0.4714, 0.5926, 1702256005.2379708
0.4851, 0.4714, 0.5926, 1702256005.3377504
0.4841, 0.4704, 0.5936, 1702256005.437776
0.4851, 0.4704, 0.5926, 1702256005.5378132
0.4851, 0.4704, 0.5936, 1702256005.637752
0.4851, 0.4714, 0.5926, 1702256005.7377865
0.4841, 0.4704, 0.5936, 1702256005.8377998
0.4841, 0.4704, 0.5936, 1702256005.9377604
0.4851, 0.4704, 0.5936, 1702256006.0379055
0.4841, 0.4704, 0.5926, 1702256006.138071
0.4841, 0.4704, 0.5926, 1702256006.2378983
0.4851, 0.4704, 0.5936, 1702256006.3381076
0.4851, 0.4704, 0.5936, 1702256006.4385943
0.4851, 0.4704, 0.5926, 1702256006.5377092
0.4841, 0.4704, 0.5926, 1702256006.637859
0.4636, 0.4958, 0.618 ,1702256006.7380176
0.4763, 0.4802, 0.5779, 1702256006.8382742
0.4919, 0.4489, 0.5457, 1702256006.9381325
0.4812, 0.4509, 0.6414, 1702256007.0380142
0.4939, 0.4792, 0.533 ,1702256007.1378453
0.4861, 0.4529, 0.6131, 1702256007.2377028
0.4753, 0.491 , 0.5535, 1702256007.3377507
0.4831, 0.4489, 0.66  , 1702256007.438034
0.4724, 0.5066, 0.5467, 1702256007.5379944
0.4831, 0.4538, 0.4675, 1702256007.6379917
0.4871, 0.4607, 0.7499, 1702256007.737755
0.4978, 0.4587, 0.5584, 1702256007.8377137
0.4968, 0.4646, 0.6893, 1702256007.937964
0.4724, 0.4792, 0.5584, 1702256008.0378444
0.491 , 0.4773, 0.5056, 1702256008.1377892
0.4958, 0.4558, 0.7274, 1702256008.2377968
0.488 , 0.4704, 0.5252, 1702256008.3377366
0.4773, 0.4577, 0.5721, 1702256008.4377353
0.4773, 0.4929, 0.6815, 1702256008.5377436
0.4744, 0.4812, 0.5095, 1702256008.6378303
0.4861, 0.4509, 0.6141, 1702256008.737737
0.4871, 0.4939, 0.5818, 1702256008.8377285
0.4714, 0.4792, 0.5271, 1702256008.9380975
0.4802, 0.488 , 0.6199, 1702256009.0380144
0.488 , 0.4607, 0.5955, 1702256009.137882
0.4861, 0.4656, 0.6746, 1702256009.2378135
0.4744, 0.4978, 0.5554, 1702256009.3382618
0.4861, 0.4714, 0.5388, 1702256009.438047
0.4851, 0.4519, 0.6844, 1702256009.537972
0.4841, 0.4509, 0.5721, 1702256009.6379123
0.4802, 0.4734, 0.6346, 1702256009.7377508
0.5007, 0.5027, 0.7196, 1702256009.8377588
0.4831, 0.4597, 0.5955, 1702256009.937681
0.4773, 0.4851, 0.6619, 1702256010.0378294
0.4724, 0.4949, 0.5515, 1702256010.1377602
0.489 , 0.4529, 0.5975, 1702256010.2377887
0.4783, 0.4919, 0.4568, 1702256010.3380172
0.4783, 0.4617, 0.6512, 1702256010.4378567
0.4744, 0.49  , 0.6248, 1702256010.5377808
0.4831, 0.4665, 0.5291, 1702256010.637925
0.488 , 0.4489, 0.6248, 1702256010.737831
0.4939, 0.4822, 0.5437, 1702256010.837806
0.4949, 0.4822, 0.6727, 1702256010.9377847
0.4763, 0.4695, 0.6277, 1702256011.0378652
0.488 , 0.4577, 0.5545, 1702256011.1377273
0.4724, 0.4402, 0.6023, 1702256011.2377386
0.4792, 0.5066, 0.6512, 1702256011.3378346
0.4988, 0.4773, 0.5799, 1702256011.4377022
0.49  , 0.4753, 0.7372, 1702256011.537752
0.4861, 0.4939, 0.5545, 1702256011.6381886
0.4919, 0.4714, 0.6639, 1702256011.7378316
0.4724, 0.4402, 0.5691, 1702256011.837731
0.4939, 0.4714, 0.532 , 1702256011.9381912
0.4968, 0.4822, 0.744 , 1702256012.0380573
0.4831, 0.4675, 0.531 , 1702256012.138002
0.4831, 0.4577, 0.5906, 1702256012.2377963
0.4783, 0.4968, 0.6375, 1702256012.3377433
0.5017, 0.4939, 0.6414, 1702256012.437814
0.4685, 0.4734, 0.5554, 1702256012.5378437
0.4773, 0.4861, 0.5105, 1702256012.637769
0.5125, 0.4499, 0.5545, 1702256012.7378268
0.4929, 0.4734, 0.5857, 1702256012.8379605
0.4929, 0.4734, 0.5867, 1702256012.9379332
0.4861, 0.4675, 0.5877, 1702256013.0377529
0.4802, 0.4724, 0.5828, 1702256013.1377578
0.4841, 0.4714, 0.5877, 1702256013.2381804
0.4861, 0.4734, 0.5906, 1702256013.338052
0.4841, 0.4714, 0.5906, 1702256013.43788
0.4851, 0.4714, 0.5926, 1702256013.5377624
0.4851, 0.4714, 0.5916, 1702256013.637762
0.4851, 0.4714, 0.5926, 1702256013.7376115
0.4851, 0.4704, 0.5936, 1702256013.8377967
0.4851, 0.4704, 0.5936, 1702256013.9378057
0.4851, 0.4704, 0.5936, 1702256014.0377939
0.4851, 0.4704, 0.5936, 1702256014.1377048
0.4851, 0.4704, 0.5936, 1702256014.237907
0.4851, 0.4704, 0.5936, 1702256014.3380358
0.4851, 0.4704, 0.5936, 1702256014.4377236
0.4851, 0.4704, 0.5936, 1702256014.5380652
0.4851, 0.4704, 0.5936, 1702256014.6377733
0.4851, 0.4704, 0.5936, 1702256014.7377264
0.4851, 0.4714, 0.5926, 1702256014.8377569
0.4851, 0.4704, 0.5926, 1702256014.9376867
0.4851, 0.4704, 0.5926, 1702256015.037812
0.4851, 0.4704, 0.5936, 1702256015.1377141
0.4851, 0.4704, 0.5926, 1702256015.2377753
0.4851, 0.4704, 0.5936, 1702256015.3378112
0.4851, 0.4704, 0.5936, 1702256015.4379327
0.4851, 0.4704, 0.5926, 1702256015.5381258
0.4861, 0.4704, 0.5945, 1702256015.637853
0.4851, 0.4704, 0.5926, 1702256015.7381728
0.4851, 0.4704, 0.5926, 1702256015.8380208
0.4851, 0.4704, 0.5926, 1702256015.937843
0.4861, 0.4685, 0.5945, 1702256016.0377188
