x,y,z,time
0.4851, 0.4714, 0.5926, 1702254950.5820243
0.4851, 0.4714, 0.5926, 1702254950.769475
0.4851, 0.4714, 0.5926, 1702254950.7825105
0.4851, 0.4714, 0.5936, 1702254950.881726
0.4841, 0.4704, 0.5936, 1702254950.981886
0.4851, 0.4714, 0.5926, 1702254951.0818832
0.4841, 0.4704, 0.5936, 1702254951.181777
0.4851, 0.4714, 0.5926, 1702254951.2817974
0.4851, 0.4714, 0.5926, 1702254951.3818576
0.4851, 0.4714, 0.5936, 1702254951.481767
0.4851, 0.4714, 0.5926, 1702254951.581782
0.4851, 0.4714, 0.5926, 1702254951.6818717
0.4841, 0.4714, 0.5936, 1702254951.7817705
0.4851, 0.4714, 0.5936, 1702254951.8817468
0.4851, 0.4714, 0.5926, 1702254951.9818604
0.4851, 0.4714, 0.5926, 1702254952.0819602
0.4841, 0.4714, 0.5926, 1702254952.18218
0.4851, 0.4714, 0.5926, 1702254952.2823694
0.4851, 0.4714, 0.5936, 1702254952.3825002
0.4851, 0.4714, 0.5926, 1702254952.4823573
0.4851, 0.4714, 0.5936, 1702254952.5820155
0.4851, 0.4704, 0.5936, 1702254952.6821785
0.4851, 0.4714, 0.5936, 1702254952.7820206
0.4851, 0.4704, 0.5926, 1702254952.8820765
0.4851, 0.4714, 0.5936, 1702254952.9817178
0.4851, 0.4714, 0.5936, 1702254953.081736
0.4851, 0.4714, 0.5936, 1702254953.181982
0.4871, 0.4714, 0.5936, 1702254953.2818055
0.4851, 0.4714, 0.5926, 1702254953.3816478
0.4851, 0.4704, 0.5926, 1702254953.4817183
0.4851, 0.4714, 0.5936, 1702254953.581642
0.4851, 0.4714, 0.5936, 1702254953.681687
0.4841, 0.4714, 0.5926, 1702254953.7818778
0.4851, 0.4704, 0.5936, 1702254953.8817487
0.4851, 0.4714, 0.5926, 1702254953.981622
0.4851, 0.4704, 0.5936, 1702254954.0817456
0.4851, 0.4714, 0.5936, 1702254954.1818857
0.4851, 0.4714, 0.5936, 1702254954.281617
0.4851, 0.4714, 0.5936, 1702254954.3816562
0.4851, 0.4704, 0.5926, 1702254954.4818096
0.4851, 0.4714, 0.5926, 1702254954.5816355
0.4851, 0.4704, 0.5936, 1702254954.6815019
0.4851, 0.4714, 0.5926, 1702254954.781662
0.4851, 0.4704, 0.5926, 1702254954.881719
0.4851, 0.4714, 0.5936, 1702254954.9821103
0.4851, 0.4714, 0.5936, 1702254955.0821316
0.4851, 0.4704, 0.5936, 1702254955.1823986
0.4851, 0.4714, 0.5926, 1702254955.2819955
0.4841, 0.4822, 0.6014, 1702254955.3818562
0.489 , 0.4783, 0.6092, 1702254955.4815965
0.489 , 0.4685, 0.5906, 1702254955.5820162
0.4831, 0.4656, 0.5994, 1702254955.681681
0.4851, 0.4617, 0.6258, 1702254955.7817204
0.4802, 0.4704, 0.6072, 1702254955.8815994
0.4792, 0.4704, 0.6023, 1702254955.9818153
0.4871, 0.4675, 0.6102, 1702254956.081586
0.4851, 0.4675, 0.5672, 1702254956.1815972
0.4841, 0.4704, 0.6072, 1702254956.281749
0.488 , 0.4685, 0.618 , 1702254956.3815994
0.4871, 0.4724, 0.5975, 1702254956.4818723
0.4802, 0.4714, 0.5887, 1702254956.5819159
0.4841, 0.4665, 0.576 , 1702254956.6818442
0.4871, 0.4646, 0.5691, 1702254956.7816148
0.4861, 0.4656, 0.5965, 1702254956.8816538
0.4783, 0.4773, 0.6014, 1702254956.981712
0.491 , 0.4695, 0.6053, 1702254957.081651
0.4861, 0.4617, 0.6023, 1702254957.1816819
0.4841, 0.4685, 0.5896, 1702254957.2817588
0.4939, 0.4646, 0.6111, 1702254957.3816233
0.4783, 0.4744, 0.5994, 1702254957.4817424
0.4871, 0.4734, 0.575 , 1702254957.5816135
0.491 , 0.4665, 0.6356, 1702254957.6816974
0.4861, 0.4577, 0.6043, 1702254957.7816372
0.4822, 0.4646, 0.5906, 1702254957.8817592
0.4831, 0.4792, 0.5818, 1702254957.9817536
0.488 , 0.4665, 0.616 , 1702254958.0821512
0.4851, 0.4636, 0.5984, 1702254958.1820166
0.489 , 0.4744, 0.615 , 1702254958.2819068
0.489 , 0.4763, 0.6453, 1702254958.3816125
0.4734, 0.4851, 0.5711, 1702254958.4816434
0.4753, 0.4831, 0.5936, 1702254958.5816004
0.4871, 0.4753, 0.5857, 1702254958.6816876
0.4871, 0.4636, 0.6053, 1702254958.7816558
0.4871, 0.4714, 0.5926, 1702254958.8816993
0.4792, 0.4822, 0.5789, 1702254958.9816263
0.4861, 0.4724, 0.6063, 1702254959.0819457
0.4831, 0.4734, 0.5857, 1702254959.1821442
0.489 , 0.4704, 0.5916, 1702254959.2817104
0.488 , 0.4685, 0.6072, 1702254959.3816783
0.4871, 0.4724, 0.5701, 1702254959.4816976
0.4871, 0.4724, 0.575 , 1702254959.5817184
0.4831, 0.4714, 0.5799, 1702254959.6815972
0.49  , 0.4646, 0.616 , 1702254959.7817974
0.4851, 0.4724, 0.6141, 1702254959.8816683
0.4861, 0.4763, 0.5818, 1702254959.981669
0.4871, 0.4695, 0.5838, 1702254960.0816681
0.49  , 0.4626, 0.5984, 1702254960.18177
0.4861, 0.4753, 0.5848, 1702254960.2817352
0.488 , 0.4675, 0.5809, 1702254960.3815897
0.4822, 0.4744, 0.5809, 1702254960.4817765
0.4831, 0.4773, 0.5506, 1702254960.5816448
0.491 , 0.4656, 0.5848, 1702254960.682217
0.4861, 0.4714, 0.615 , 1702254960.7820005
0.49  , 0.4714, 0.6209, 1702254960.8816366
0.4861, 0.4734, 0.5936, 1702254960.9817145
0.4783, 0.4675, 0.5711, 1702254961.081661
0.4871, 0.4704, 0.5896, 1702254961.1816432
0.4919, 0.4656, 0.6209, 1702254961.2817957
0.491 , 0.4519, 0.5652, 1702254961.38166
0.4871, 0.4607, 0.5965, 1702254961.4816976
0.4831, 0.4695, 0.5916, 1702254961.581725
0.4851, 0.4704, 0.5916, 1702254961.6817946
0.4851, 0.4704, 0.5936, 1702254961.7818353
0.4851, 0.4704, 0.5926, 1702254961.8816056
0.4841, 0.4704, 0.5926, 1702254961.9820402
0.4841, 0.4714, 0.5936, 1702254962.0820131
0.4841, 0.4704, 0.5926, 1702254962.1817865
0.4851, 0.4695, 0.5936, 1702254962.2816548
0.4851, 0.4714, 0.5936, 1702254962.3817034
0.4851, 0.4695, 0.5945, 1702254962.4816687
0.4851, 0.4714, 0.5936, 1702254962.5816755
0.4841, 0.4714, 0.5936, 1702254962.6817803
0.4851, 0.4714, 0.5936, 1702254962.7816174
0.4851, 0.4704, 0.5926, 1702254962.8816338
