x,y,z,time
0.4851, 0.4704, 0.5936, 1702255776.6014044
0.4851, 0.4704, 0.5936, 1702255776.7779264
0.4851, 0.4714, 0.5926, 1702255776.8001664
0.4851, 0.4704, 0.5936, 1702255776.9001787
0.4851, 0.4704, 0.5926, 1702255777.0001428
0.4851, 0.4704, 0.5936, 1702255777.100319
0.4851, 0.4704, 0.5926, 1702255777.2002099
0.4851, 0.4704, 0.5926, 1702255777.300249
0.4851, 0.4714, 0.5926, 1702255777.4001508
0.4841, 0.4714, 0.5936, 1702255777.5002697
0.4851, 0.4714, 0.5936, 1702255777.6003468
0.4851, 0.4714, 0.5936, 1702255777.7003639
0.4851, 0.4704, 0.5926, 1702255777.8006864
0.4851, 0.4714, 0.5936, 1702255777.9002993
0.4851, 0.4704, 0.5926, 1702255778.0002754
0.4851, 0.4704, 0.5936, 1702255778.1002662
0.4841, 0.4714, 0.5926, 1702255778.2002165
0.4851, 0.4704, 0.5936, 1702255778.3001726
0.4851, 0.4714, 0.5936, 1702255778.4002128
0.4851, 0.4714, 0.5926, 1702255778.5002763
0.4851, 0.4714, 0.5926, 1702255778.6002913
0.4851, 0.4714, 0.5936, 1702255778.7002077
0.4851, 0.4704, 0.5936, 1702255778.8006077
0.4851, 0.4704, 0.5926, 1702255778.9002817
0.4851, 0.4704, 0.5936, 1702255779.0007033
0.4851, 0.4714, 0.5936, 1702255779.1005843
0.4851, 0.4714, 0.5936, 1702255779.2002368
0.4851, 0.4714, 0.5926, 1702255779.3003395
0.4851, 0.4704, 0.5936, 1702255779.400178
0.4851, 0.4704, 0.5936, 1702255779.500226
0.4841, 0.4714, 0.5936, 1702255779.6002045
0.4851, 0.4704, 0.5936, 1702255779.7002673
0.4851, 0.4714, 0.5936, 1702255779.8001533
0.4851, 0.4714, 0.5936, 1702255779.9001544
0.4851, 0.4704, 0.5926, 1702255780.0003977
0.4851, 0.4714, 0.5936, 1702255780.100238
0.4851, 0.4714, 0.5936, 1702255780.2005472
0.4851, 0.4704, 0.5936, 1702255780.300504
