x,y,z,time
0.4851, 0.4704, 0.5936, 1702255096.485457
0.4851, 0.4714, 0.5936, 1702255096.6595123
0.4841, 0.4714, 0.5926, 1702255096.685404
0.4841, 0.4714, 0.5926, 1702255096.7851198
0.4841, 0.4714, 0.5936, 1702255096.8851745
0.4841, 0.4714, 0.5936, 1702255096.9850883
0.4841, 0.4714, 0.5926, 1702255097.085158
0.4841, 0.4714, 0.5936, 1702255097.1852129
0.4851, 0.4714, 0.5936, 1702255097.285129
0.4851, 0.4714, 0.5926, 1702255097.385107
0.4841, 0.4714, 0.5926, 1702255097.4851058
0.4841, 0.4714, 0.5936, 1702255097.585424
0.4841, 0.4714, 0.5936, 1702255097.6851628
0.4851, 0.4714, 0.5936, 1702255097.7856886
0.4851, 0.4714, 0.5936, 1702255097.8850973
0.4851, 0.4714, 0.5916, 1702255097.985222
0.4841, 0.4704, 0.5926, 1702255098.0858047
0.4851, 0.4704, 0.5936, 1702255098.1850843
0.4841, 0.4714, 0.5916, 1702255098.2851849
0.4851, 0.4695, 0.5936, 1702255098.3851104
0.4851, 0.4704, 0.5936, 1702255098.4851139
0.4831, 0.4704, 0.5926, 1702255098.585056
0.4831, 0.4714, 0.5926, 1702255098.6851273
0.4783, 0.4695, 0.5975, 1702255098.7852798
0.4763, 0.4646, 0.5838, 1702255098.885443
0.4685, 0.4792, 0.5838, 1702255098.985713
0.4714, 0.4695, 0.6014, 1702255099.085512
0.4646, 0.4939, 0.5545, 1702255099.1851473
0.49  , 0.4538, 0.5936, 1702255099.285125
0.4695, 0.4568, 0.5613, 1702255099.3851485
0.4783, 0.4568, 0.6649, 1702255099.4851153
0.4714, 0.5046, 0.4245, 1702255099.5851047
0.4724, 0.4929, 0.5691, 1702255099.6852493
0.4714, 0.4499, 0.5545, 1702255099.785083
0.4626, 0.4675, 0.5125, 1702255099.8852463
0.4753, 0.4929, 0.4568, 1702255099.98542
0.4822, 0.4871, 0.5701, 1702255100.0854938
0.4734, 0.4392, 0.6893, 1702255100.1851037
0.4763, 0.4255, 0.4548, 1702255100.2854931
0.4724, 0.5281, 0.4968, 1702255100.3853714
0.488 , 0.3688, 0.3376, 1702255100.4851422
0.4675, 0.445 , 0.6913, 1702255100.585159
0.4411, 0.5457, 0.5252, 1702255100.685069
0.5252, 0.4314, 0.6932, 1702255100.7854047
0.5076, 0.4656, 0.7938, 1702255100.8851137
0.4704, 0.5457, 0.4929, 1702255100.9851546
0.5213, 0.5213, 0.8329, 1702255101.0851367
0.4871, 0.4333, 0.6502, 1702255101.1852033
0.4861, 0.4568, 0.703 , 1702255101.2855644
0.4988, 0.4587, 0.5945, 1702255101.3851497
0.5066, 0.5359, 0.8212, 1702255101.4856808
0.4812, 0.4587, 0.5213, 1702255101.585632
0.4783, 0.4773, 0.4021, 1702255101.6854267
0.5007, 0.3874, 0.6023, 1702255101.7851198
0.4939, 0.4753, 0.7606, 1702255101.8852332
0.5115, 0.5496, 0.7362, 1702255101.9850814
0.4939, 0.4861, 0.7333, 1702255102.0851264
0.5095, 0.4333, 0.6111, 1702255102.185221
0.4851, 0.4744, 0.6434, 1702255102.2851174
0.5085, 0.361 , 0.6092, 1702255102.3851156
0.4294, 0.4929, 0.4314, 1702255102.4853804
0.5115, 0.4089, 0.6258, 1702255102.585402
0.4499, 0.5066, 0.5379, 1702255102.6851854
0.5076, 0.4617, 0.8105, 1702255102.7855568
0.4753, 0.4597, 0.5427, 1702255102.8851266
0.4577, 0.5027, 0.3854, 1702255102.9851232
0.4998, 0.4079, 0.7176, 1702255103.0851395
