x,y,z,time
0.4851, 0.4704, 0.5926, 1702255832.9480395
0.4851, 0.4714, 0.5936, 1702255833.1244154
0.4851, 0.4704, 0.5936, 1702255833.147748
0.4851, 0.4704, 0.5926, 1702255833.2476819
0.4851, 0.4704, 0.5936, 1702255833.3477588
0.4851, 0.4704, 0.5936, 1702255833.4477775
0.4841, 0.4714, 0.5936, 1702255833.5477443
0.4851, 0.4704, 0.5926, 1702255833.6477253
0.4841, 0.4714, 0.5945, 1702255833.7477927
0.4822, 0.4724, 0.5955, 1702255833.8480155
0.4831, 0.4734, 0.5916, 1702255833.947841
0.4822, 0.4773, 0.5916, 1702255834.0482454
0.4822, 0.488 , 0.5975, 1702255834.1478333
0.4851, 0.4773, 0.6092, 1702255834.2477875
0.4978, 0.4773, 0.5975, 1702255834.347786
0.5007, 0.4333, 0.5681, 1702255834.4477432
0.4841, 0.4675, 0.5809, 1702255834.5477629
0.4861, 0.4685, 0.6092, 1702255834.6476722
0.4822, 0.5066, 0.4783, 1702255834.747706
0.5242, 0.4822, 0.6483, 1702255834.847722
0.5085, 0.4519, 0.6659, 1702255834.9477563
0.4851, 0.4831, 0.6326, 1702255835.0479221
0.4949, 0.448 , 0.6873, 1702255835.1479847
0.4919, 0.4617, 0.7733, 1702255835.2482195
0.4695, 0.4792, 0.4851, 1702255835.3482711
0.5037, 0.4685, 0.6756, 1702255835.4477692
0.5134, 0.4265, 0.701 , 1702255835.547816
0.4685, 0.5046, 0.5095, 1702255835.647737
0.4783, 0.4773, 0.5506, 1702255835.7477357
0.4812, 0.4489, 0.5799, 1702255835.8477404
0.4812, 0.4871, 0.615 , 1702255835.9477746
0.4734, 0.5242, 0.488 , 1702255836.0477853
0.4783, 0.4402, 0.5994, 1702255836.1477127
0.4958, 0.4118, 0.6131, 1702255836.2479262
0.4714, 0.4353, 0.6131, 1702255836.3478067
0.4763, 0.4763, 0.4763, 1702255836.4478338
0.4753, 0.4851, 0.5838, 1702255836.548216
0.4783, 0.4675, 0.617 , 1702255836.6477818
0.4812, 0.4333, 0.6092, 1702255836.7477877
0.4685, 0.5134, 0.6356, 1702255836.8477747
0.5037, 0.4226, 0.4949, 1702255836.9477706
0.4763, 0.4714, 0.5701, 1702255837.0477169
0.5027, 0.4323, 0.6053, 1702255837.147726
0.4744, 0.4831, 0.5574, 1702255837.2478344
0.4704, 0.489 , 0.5291, 1702255837.3478131
0.4753, 0.4812, 0.5506, 1702255837.4479606
0.4734, 0.4568, 0.6072, 1702255837.5480464
